"Age","Gender","Recommended Water Intake (Liters/Day)"
"1","Male","1.0"
"1","Female","1.0"
"2","Male","1.0"
"2","Female","1.0"
"3","Male","1.0"
"3","Female","1.0"
"4","Male","1.2"
"4","Female","1.2"
"5","Male","1.2"
"5","Female","1.2"
"6","Male","1.2"
"6","Female","1.2"
"7","Male","1.2"
"7","Female","1.2"
"8","Male","1.2"
"8","Female","1.2"
"9","Male","1.6"
"9","Female","1.4"
"10","Male","1.6"
"10","Female","1.4"
"11","Male","1.6"
"11","Female","1.4"
"12","Male","1.6"
"12","Female","1.4"
"13","Male","1.6"
"13","Female","1.4"
"14","Male","1.9"
"14","Female","1.6"
"15","Male","1.9"
"15","Female","1.6"
"16","Male","1.9"
"16","Female","1.6"
"17","Male","1.9"
"17","Female","1.6"
"18","Male","1.9"
"18","Female","1.6"
"19","Male","3.7"
"19","Female","2.7"
"20","Male","3.7"
"20","Female","2.7"
"21","Male","3.7"
"21","Female","2.7"
"22","Male","3.7"
"22","Female","2.7"
"23","Male","3.7"
"23","Female","2.7"
"24","Male","3.7"
"24","Female","2.7"
"25","Male","3.7"
"25","Female","2.7"
"26","Male","3.7"
"26","Female","2.7"
"27","Male","3.7"
"27","Female","2.7"
"28","Male","3.7"
"28","Female","2.7"
"29","Male","3.7"
"29","Female","2.7"
"30","Male","3.7"
"30","Female","2.7"
"31","Male","3.7"
"31","Female","2.7"
"32","Male","3.7"
"32","Female","2.7"
"33","Male","3.7"
"33","Female","2.7"
"34","Male","3.7"
"34","Female","2.7"
"35","Male","3.7"
"35","Female","2.7"
"36","Male","3.7"
"36","Female","2.7"
"37","Male","3.7"
"37","Female","2.7"
"38","Male","3.7"
"38","Female","2.7"
"39","Male","3.7"
"39","Female","2.7"
"40","Male","3.7"
"40","Female","2.7"
"41","Male","3.7"
"41","Female","2.7"
"42","Male","3.7"
"42","Female","2.7"
"43","Male","3.7"
"43","Female","2.7"
"44","Male","3.7"
"44","Female","2.7"
"45","Male","3.7"
"45","Female","2.7"
"46","Male","3.7"
"46","Female","2.7"
"47","Male","3.7"
"47","Female","2.7"
"48","Male","3.7"
"48","Female","2.7"
"49","Male","3.7"
"49","Female","2.7"
"50","Male","3.7"
"50","Female","2.7"
"51","Male","3.7"
"51","Female","2.7"
"52","Male","3.7"
"52","Female","2.7"
"53","Male","3.7"
"53","Female","2.7"
"54","Male","3.7"
"54","Female","2.7"
"55","Male","3.7"
"55","Female","2.7"
"56","Male","3.7"
"56","Female","2.7"
"57","Male","3.7"
"57","Female","2.7"
"58","Male","3.7"
"58","Female","2.7"
"59","Male","3.7"
"59","Female","2.7"
"60","Male","3.7"
"60","Female","2.7"
"61","Male","3.7"
"61","Female","2.7"
"62","Male","3.7"
"62","Female","2.7"
"63","Male","3.7"
"63","Female","2.7"
"64","Male","3.7"
"64","Female","2.7"
"65","Male","3.7"
"65","Female","2.7"
"66","Male","3.7"
"66","Female","2.7"
"67","Male","3.7"
"67","Female","2.7"
"68","Male","3.7"
"68","Female","2.7"
"69","Male","3.7"
"69","Female","2.7"
"70","Male","3.7"
"70","Female","2.7"
"71","Male","3.7"
"71","Female","2.7"
"72","Male","3.7"
"72","Female","2.7"
"73","Male","3.7"
"73","Female","2.7"
"74","Male","3.7"
"74","Female","2.7"
"75","Male","3.7"
"75","Female","2.7"
"76","Male","3.7"
"76","Female","2.7"
"77","Male","3.7"
"77","Female","2.7"
"78","Male","3.7"
"78","Female","2.7"
"79","Male","3.7"
"79","Female","2.7"
"80","Male","3.7"
"80","Female","2.7"
"81","Male","3.7"
"81","Female","2.7"
"82","Male","3.7"
"82","Female","2.7"
"83","Male","3.7"
"83","Female","2.7"
"84","Male","3.7"
"84","Female","2.7"
"85","Male","3.7"
"85","Female","2.7"
"86","Male","3.7"
"86","Female","2.7"
"87","Male","3.7"
"87","Female","2.7"
"88","Male","3.7"
"88","Female","2.7"
"89","Male","3.7"
"89","Female","2.7"
"90","Male","3.7"
"90","Female","2.7"
"91","Male","3.7"
"91","Female","2.7"
"92","Male","3.7"
"92","Female","2.7"
"93","Male","3.7"
"93","Female","2.7"
"94","Male","3.7"
"94","Female","2.7"
"95","Male","3.7"
"95","Female","2.7"
"96","Male","3.7"
"96","Female","2.7"
"97","Male","3.7"
"97","Female","2.7"
"98","Male","3.7"
"98","Female","2.7"
"99","Male","3.7"
"99","Female","2.7"
"100","Male","3.7"
"100","Female","2.7"